Tier,PATK,MATK,PvP DMG Bonus,Attack Stats Percentage Bonus,PvE Stats Percentage Bonus,PvP Stats Percentage Bonus
1,13,13,12,10,30,30
2,18,18,15,11,33,33
3,23,23,18,12,36,36
4,28,28,21,13,39,39
5,33,33,24,14,42,42
6,38,38,27,15,45,45
7,43,43,30,16,48,48
8,48,48,33,17,51,51
9,53,53,36,18,54,54
10,58,58,39,20,60,60
11,60,60,42,21,62,62
12,62,62,45,22,64,64
13,64,64,48,23,66,66
14,66,66,51,24,68,68
15,68,68,54,25,70,70
16,70,70,57,26,72,72
17,72,72,60,27,74,74
18,74,74,63,28,76,76
19,76,76,66,29,78,78
20,78,78,69,30,80,80
